Year,country,prop_elapsed,change_GDP,revenue,gross_debt,inflation,execrlc,frac,govfrac,max_pm_gov_leg,vote_share,union_density,dem_age,eu,openness,BBR,DR,legislative_type,transparency,structural_bal,log_con_inv,log_con_inv_t,log_gdp_dol,fisc_cent,max_elf,log_gen_exp,log_cent_exp,single_party
2004,Ireland,0.4,6.725,34.49,28.215,89.342,1,0.71025914,0.165474981,10,37.5,35.49983504,83,1,146.6976644,1,1,2,0,-2.553,2.092075456,2.188181064,25.99045883,0.902097704,0.155,10.85466636,10.75163391,0
2005,Ireland,0.6,5.767,34.942,26.072,91.292,1,0.71025914,0.165474981,10,37.5,33.95989975,84,1,148.2779242,1,1,2,0,-3.864,2.493613669,2.611413808,26.07836516,0.923963302,0.155,10.9463408,10.86725788,0
2006,Ireland,0.8,5.866,36.641,23.61,93.742,1,0.71025914,0.165474981,10,37.5,32.3548444,85,1,149.9574616,1,1,2,50,-5.283,2.435378901,2.554761192,26.17072708,0.919080752,0.155,11.04474066,10.96035937,0
2007,Ireland,1,3.797,36.122,23.897,96.442,1,0.654234946,0.165474981,10,37.5,31.46853147,86,1,153.2939185,1,1,2,50,-9.524,2.216583555,2.334462748,26.32184704,0.911007057,0.155,11.16783163,11.07462699,0
2008,Ireland,0.2,-4.373,34.845,42.414,99.45,1,0.672143161,0.174008206,10,36.87000132,31.92689531,87,1,159.6353926,1,1,2,50,-12.504,1.999738952,2.120937355,26.33974235,0.919734655,0.155,11.2709111,11.18724103,0
2009,Ireland,0.4,-4.565,33.299,61.676,97.767,1,0.672143161,0.174008206,10,36.87000132,33.08279941,88,1,173.0017402,1,1,2,50,-10.642,2.47229879,2.602139586,26.18610562,0.946743957,0.155,11.28923877,11.23451217,0
2010,Ireland,0.6,2.033,33.153,86.299,96.192,1,0.672143161,0.174008206,10,36.87000132,32.69144648,89,1,189.5901732,1,1,2,50,-8.357,2.34697444,2.498498565,26.12304262,0.966959542,0.155,11.59991366,11.56631504,0
2011,Ireland,0.8,-0.04,33.12,109.613,97.358,1,0.672143161,0.174008206,10,36.87000132,32.59815018,90,1,187.5347277,1,1,2,50,-6.295,2.537466567,2.689423064,26.20630188,0.953359795,0.155,11.28505476,11.23729185,0
2012,Ireland,0.2,-1.103,33.616,119.477,99.208,2,0.722599447,0.444374204,10,16.64999771,31.22540016,91,1,196.6091132,1,1,2,50,-4.945,2.532603262,2.692902347,26.14299963,0.949202632,0.155,11.20644677,11.15431379,0
2013,Ireland,0.4,1.099,33.877,119.471,99.733,2,0.722599447,0.444374204,10,16.64999771,29.5946121,92,1,193.2906579,1,1,2,66.66666667,-3.097,2.392995094,2.544190624,26.20086264,0.952241306,0.155,11.19180229,11.14286548,0
2014,Ireland,0.6,8.463,34.018,105.247,100.033,2,0.722599447,0.444374204,10,16.64999771,27.4033855,93,1,208.1708785,1,1,2,NA,-1.874,2.023624151,2.171622479,26.26950132,0.95596701,0.155,11.19879373,11.15376186,0
1997,Netherlands,0.75,4.297,44.071,65.578,70.109,0,0.820976853,0.663879573,8.5,4.100000381,25.06472672,52,1,114.8826861,1,1,2,NA,-0.472,1.132661322,1.217987654,26.74477208,0.59597223,0.7222,12.01673252,11.49917131,0
1998,Netherlands,1,4.531,43.201,62.452,71.359,0,0.820976853,0.663879573,8.5,4.100000381,24.56145717,53,1,113.3449777,1,1,2,NA,-0.844,1.218692653,1.308709005,26.79279267,0.579459227,0.7222,12.05360305,11.50794307,0
1999,Netherlands,0.25,5.048,43.79,58.173,72.813,0,0.79761374,0.616838515,8.5,4.299999237,24.68126839,54,1,115.1362701,1,1,2,NA,-0.486,1.091183228,1.182450221,26.81451916,0.583208088,0.7222,12.10244951,11.56323828,0
2000,Netherlands,0.5,4.245,43.643,51.35,74.522,0,0.79761374,0.616838515,8.5,4.299999237,22.933341,55,1,126.4519786,1,1,2,NA,0.606,1.105259363,1.19657967,26.74624601,0.576556213,0.7222,12.13959625,11.58891381,0
2001,Netherlands,0.75,2.128,42.773,48.684,78.332,0,0.79761374,0.616838515,8.5,4.299999237,21.15786374,56,1,120.9865407,1,1,2,NA,-1.519,1.022447812,1.107093616,26.77905169,0.594759987,0.7222,12.23355162,11.71395428,0
2002,Netherlands,1,0.103,41.803,48.172,81.351,0,0.79761374,0.616838515,8.5,4.299999237,20.96952909,57,1,114.7103848,1,1,2,NA,-2.195,0.992852263,1.084998053,26.86609648,0.593763392,0.7222,12.28769411,11.76641974,0
2003,Netherlands,0.25,0.285,41.718,49.306,83.162,0,0.830518007,0.615653396,8.5,0.399999619,20.49265738,58,1,112.6547602,1,1,2,50,-2.126,0.988016074,1.078959499,27.07216529,0.600231177,0.7222,12.33123285,11.82079244,0
2004,Netherlands,0.25,2.028,41.914,49.614,84.312,2,0.795466065,0.554112554,8.5,10.65999985,20.79764078,59,1,119.1482215,1,1,2,50,-0.562,1.029331178,1.1187543,27.20105786,0.591662767,0.7222,12.33989087,11.81507241,0
2005,Netherlands,0.5,2.156,42.057,48.943,85.569,2,0.798597991,0.551606297,8.5,10.65999985,20.5573932,60,1,124.5538472,1,1,2,50,0.839,1.208867079,1.308695533,27.24320043,0.594485136,0.7222,12.34959707,11.8295375,0
2006,Netherlands,0.75,3.52,43.247,44.475,86.983,2,0.798597991,0.551606297,8.5,10.65999985,19.98001998,61,1,129.8258669,1,1,2,50,0.432,1.144145105,1.256683328,27.31170939,0.582346475,0.7222,12.426316,11.88562631,0
2007,Netherlands,0.25,3.696,42.663,42.376,88.363,2,0.837882578,0.568670869,8.5,5.319999695,19.30769859,62,1,131.7218889,1,1,2,50,-0.595,1.201523938,1.336456134,27.45597701,0.597649318,0.7222,12.46978216,11.95503104,0
2008,Netherlands,0.5,1.708,43.782,54.467,90.318,2,0.837882578,0.568670869,8.5,5.319999695,18.81709622,63,1,134.6586082,1,1,2,33.33333333,-0.693,1.181578294,1.327292973,27.56512487,0.591762775,0.7222,12.53688245,12.01223301,0
2009,Netherlands,0.75,-3.773,42.74,56.493,91.198,2,0.837882578,0.568670869,8.5,5.319999695,19.06209643,64,1,118.9804709,1,1,2,50,-4.438,1.197017094,1.343517797,27.47779184,0.599912599,0.7222,12.60310227,12.09213097,0
2010,Netherlands,1,1.401,43.16,59.34,92.045,2,0.837882578,0.568670869,8.5,5.319999695,18.62865016,65,1,135.5450094,1,1,2,50,-4.309,1.145422447,1.292621417,27.45242063,0.615980559,0.7222,12.62513489,12.14059502,0
2011,Netherlands,0.25,1.664,42.682,61.634,94.32,2,0.859362483,0.666315794,8.5,5.039999962,18.36700404,66,1,146.1732166,1,1,2,50,-4.1,1.117270022,1.27012557,27.51863822,0.588016953,0.7222,12.61821541,12.08721591,0
2012,Netherlands,0.5,-1.057,43.213,66.388,96.974,2,0.859362483,0.666315794,8.5,5.039999962,17.86776157,67,1,154.2708521,1,1,2,50,-2.988,1.187021827,1.327838166,27.44342206,0.581083705,0.7222,12.6243388,12.08147834,0
2013,Netherlands,0.25,-0.189,43.898,67.74,99.455,2,0.825841188,0.572463751,8.5,16.5,17.75649873,68,1,153.324407,1,1,2,66.66666667,-1.11,1.340318133,1.460350074,27.48793566,0.559774332,0.7222,12.61830149,12.03807994,0
2014,Netherlands,0.5,1.421,43.918,67.946,99.771,2,0.825841188,0.572463751,8.5,16.5,NA,69,1,154.2884852,1,1,2,NA,-1.215,1.33079261,1.452354738,27.50277289,0.574120521,0.7222,12.63200683,12.07709089,0
1997,Belgium,0.5,3.71,49.112,123.206,71.535,2,0.88174504,0.737428486,5.5,5.300000191,52.65585518,53,1,124.3666933,1,1,2,NA,-1.894,2.38101851,2.491836833,26.2637997,0.596307787,0.5554,11.65943675,11.14243843,0
1998,Belgium,0.75,1.975,49.612,118.197,72.184,2,0.88174504,0.737428486,5.5,5.300000191,52.23175458,54,1,123.4844957,1,1,2,NA,-0.571,2.441717964,2.549008526,26.28626018,0.59789658,0.5554,11.68316854,11.16883105,0
1999,Belgium,1,3.563,49.518,114.417,73.003,2,0.89714396,0.827804446,5.5,4.140000343,54.27375971,55,1,123.9972403,1,1,2,NA,-0.724,2.429682572,2.536303898,26.28472409,0.595035828,0.5554,11.71407041,11.19493675,0
2000,Belgium,0.25,3.634,48.98,108.769,74.959,2,0.89714396,0.827804446,5.5,4.140000343,56.18107951,56,1,141.0790715,1,1,2,NA,-0.834,2.45839564,2.563205505,26.19513727,0.593409283,0.5554,11.7492853,11.22741437,0
2001,Belgium,0.5,0.812,49.36,107.591,76.784,2,0.89714396,0.827804446,5.5,4.140000343,56.34989829,57,1,138.6944652,1,1,2,NA,0.003,2.806280656,2.913692653,26.19487242,0.602866081,0.5554,11.7809353,11.27487511,0
2002,Belgium,0.75,1.781,49.552,104.71,77.973,2,0.89714396,0.827804446,5.5,4.140000343,55.56200988,58,1,135.124885,1,1,2,NA,0.043,2.501003577,2.606716267,26.27955321,0.554512536,0.5554,11.82169684,11.23203097,0
2003,Belgium,1,0.774,48.954,101.113,79.155,2,0.89714396,0.827804446,5.5,4.140000343,54.14620052,59,1,131.9903127,1,1,2,66.66666667,-0.95,2.76028821,2.874390982,26.48846634,0.553004934,0.5554,11.87295797,11.28056961,0
2004,Belgium,0.25,3.635,48.775,96.523,80.625,2,0.875548065,0.785921395,5.5,0,53.99034365,60,1,136.0378332,1,1,2,66.66666667,-0.976,2.604083777,2.611149035,26.63915788,0.550230488,0.5554,11.89251329,11.29509527,0
2005,Belgium,0.5,2.094,48.86,94.627,82.671,2,0.875548065,0.785921395,5.5,0,53.67688022,61,1,143.3762209,1,1,2,50,-0.46,2.58535119,2.591590929,26.68263582,0.575992408,0.5554,11.9879838,11.436323,0
2006,Belgium,0.75,2.499,48.654,91.038,84.595,2,0.875548065,0.785921395,5.5,0,54.84672742,62,1,147.6939014,1,1,2,50,-0.762,3.998236084,4.006280791,26.7389668,0.554990842,0.5554,11.9720634,11.38325973,0
2007,Belgium,1,3.398,48.299,87.021,86.132,2,0.875548065,0.785921395,5.5,0,54.65169262,63,1,151.1636219,1,1,2,50,-0.792,2.413549228,2.422885204,26.87986763,0.563324086,0.5554,12.02167253,11.44777236,0
2008,Belgium,0.25,0.747,49.162,92.529,89.998,2,0.881282628,0.790099025,5.5,5.989999771,54.43862268,64,1,158.9080451,1,1,2,50,-1.8,2.34071054,2.354320299,26.97444884,0.564813447,0.5554,12.08969106,11.51843128,0
2009,Belgium,0.5,-2.285,48.751,99.564,89.993,2,0.881282628,0.790099025,5.5,5.989999771,54.90530295,65,1,136.3567579,1,1,2,50,-4.059,2.361105755,2.37389336,26.90649265,0.539519108,0.5554,12.14879093,11.53171385,0
2010,Belgium,0.75,2.695,49.316,99.71,92.093,2,0.881282628,0.790099025,5.5,5.989999771,53.77081148,66,1,151.1001765,1,1,2,50,-3.944,2.522313435,2.545337116,26.90447639,0.549208367,0.5554,12.17946888,11.58019151,0
2011,Belgium,0.25,1.797,50.305,102.337,95.18,2,0.88811332,0.824415207,5.5,4.420000076,55.06704827,67,1,162.7536657,1,1,2,50,-4.227,2.612583298,2.644695021,26.99041895,0.559933945,0.5554,12.23773167,11.65779521,0
2012,Belgium,0.5,0.159,51.607,104.115,97.679,0,0.88811332,0.824415207,5.5,4.420000076,55.02051914,68,1,163.994977,1,1,2,50,-3.704,2.541952034,2.574437676,26.93363296,0.561922201,0.5554,12.28524836,11.70885649,0
2013,Belgium,0.75,0.003,52.562,105.186,98.898,0,0.88811332,0.824415207,5.5,4.420000076,55.10561303,69,1,162.2186431,1,1,2,50,-3.006,2.488092706,2.510099202,26.97727156,0.554906323,0.5554,12.29711099,11.70815502,0
2014,Belgium,1,1.295,52.006,106.568,99.383,0,0.88811332,0.824415207,5.5,4.420000076,NA,70,1,164.6154446,1,1,2,NA,-2.836,2.465466198,2.491557344,26.99946186,0.556303031,0.5554,12.305832,11.71938989,0
1997,Luxembourg,0.6,5.937,46.737,8.5,66.53,1,0.755932152,0.507823586,8.5,6.569999695,42.38505747,52,1,210.5822636,1,1,2,NA,4.547,1.422823296,1.437310128,23.70360922,0.712092104,0.644,8.883120203,8.543572186,0
1998,Luxembourg,0.8,6.492,46.888,8.034,67.177,1,0.755932152,0.507823586,8.5,6.569999695,43.66712391,53,1,232.8900888,1,1,2,NA,4.291,1.153559998,1.169671832,23.72967161,0.715647439,0.644,8.936403401,8.601835765,0
1999,Luxembourg,1,8.421,44.835,7.091,67.863,1,0.755932152,0.507823586,8.5,6.569999695,43.26183239,54,1,239.2169279,1,1,2,NA,3.484,1.220059047,1.231698151,23.82342373,0.712484199,0.644,9.014236676,8.675239132,0
2000,Luxembourg,0.2,8.442,43.472,6.455,70.429,1,0.782485783,0.497983873,8.5,6,42.52622951,55,1,271.9509664,1,1,2,NA,5.501,1.27399421,1.285729342,23.78550328,0.728584033,0.644,9.074165488,8.75751318,0
2001,Luxembourg,0.4,2.153,44.601,6.963,72.123,1,0.782485783,0.497983873,8.5,6,41.75541796,56,1,271.3444488,1,1,2,NA,5.996,1.138529751,1.151134078,23.77026493,0.710992321,0.644,9.114698037,8.773604387,0
2002,Luxembourg,0.6,3.621,44.378,6.884,73.605,1,0.782485783,0.497983873,8.5,6,42.08414726,57,1,258.8431483,1,1,2,NA,2.352,1.138769277,1.148805555,23.87208934,0.715719656,0.644,9.247537886,8.913071156,0
2003,Luxembourg,0.8,1.398,44.211,6.932,75.466,1,0.782485783,0.497983873,8.5,6,42.80029477,58,1,254.1010524,1,1,2,16.66666667,0.934,1.042272785,1.05359941,24.09767077,0.714983954,0.644,9.340659611,9.005164432,0
